Station,Maximum,Minimum,Rainfall
Dipayal,34.5,24.6,1.6
Dadeldhura,25.2,17.3,30.1
Dhangadi,34.0,24.2,99.8
Birendranagar,32.0,23.0,9.3
Nepalgunj,35.5,26.8,1.6
Jumla,25.6,17.0,1.6
Dang,31.0,23.5,16.2
Pokhara,32.3,23.3,3.6
Bhairahawa,34.4,26.4,3.8
Simara,31.6,23.5,42.0
Kathmandu,28.8,21.0,4.0
Okhaldhunga,24.4,17.5,5.6
Taplejung,26.5,19.3,16.0
Dhankuta,27.8,21.8,0.0
Biratnagar,33.3,26.5,7.1
Jomsom,23.5,14.7,0.0*
Dharan,33.5,26.0,1.6*
Lumle,24.0,18.2,105.5*
Jankapur,33.2,26.2,47.4*
Jiri,24.8,17.0,14.5*
